trade_id,trade_date,counterparty,instrument,quantity,price,direction,settlement_date,status
TRD-0049,2024-01-21,Morgan Stanley,AAPL,158,173.44,BUY,2024-01-23,FAILED
TRD-0050,2024-01-19,JP Morgan,QQQ,9138,355.78,BUY,2024-01-21,SETTLED
TRD-0051,2024-01-16,JP Morgan,AAPL,6149,295.43,BUY,2024-01-18,PENDING
TRD-0052,2024-01-17,Goldman Sachs,NVDA,6074,450.5,BUY,2024-01-19,PENDING
TRD-0053,2024-01-18,JP Morgan,GOOGL,5894,392.26,SELL,2024-01-20,FAILED
TRD-0054,2024-01-17,JP Morgan,MSFT,3000,441.89,BUY,2024-01-19,SETTLED
TRD-0055,2024-01-20,Citadel,AMZN,4471,88.01,BUY,2024-01-22,PENDING
TRD-0056,2024-01-15,Citadel,AMZN,3369,410.13,SELL,2024-01-17,PENDING
TRD-0057,2024-01-19,JP Morgan,AMZN,487,333.42,SELL,2024-01-21,PENDING
TRD-0058,2024-01-19,Goldman Sachs,NVDA,5853,324.33,SELL,2024-01-21,FAILED
TRD-0059,2024-01-23,Morgan Stanley,AAPL,1989,439.75,SELL,2024-01-25,SETTLED
TRD-0060,2024-01-24,Morgan Stanley,AAPL,1876,302.32,SELL,2024-01-26,FAILED
TRD-0061,2024-01-20,Citadel,GOOGL,6411,450.76,BUY,2024-01-22,PENDING
TRD-0062,2024-01-15,Citadel,AAPL,8618,463.53,BUY,2024-01-17,PENDING
TRD-0063,2024-01-21,Goldman Sachs,TSLA,5243,335.06,BUY,2024-01-23,FAILED
TRD-0064,2024-01-19,Jane Street,NVDA,6791,169.83,SELL,2024-01-21,FAILED
TRD-0065,2024-01-17,JP Morgan,SPY,6311,341.89,BUY,2024-01-19,FAILED
TRD-0066,2024-01-24,Morgan Stanley,SPY,9077,418.53,SELL,2024-01-26,PENDING
TRD-0067,2024-01-18,Citadel,TSLA,7718,226.48,BUY,2024-01-20,FAILED
TRD-0068,2024-01-22,JP Morgan,GOOGL,4749,262.57,SELL,2024-01-24,SETTLED
TRD-0069,2024-01-18,Morgan Stanley,AMZN,3362,82.2,BUY,2024-01-20,SETTLED
TRD-0070,2024-01-22,Jane Street,GOOGL,7561,213.08,BUY,2024-01-24,FAILED
TRD-0071,2024-01-21,Citadel,SPY,4097,82.31,BUY,2024-01-23,SETTLED
TRD-0072,2024-01-21,JP Morgan,MSFT,8586,237.63,BUY,2024-01-23,SETTLED
TRD-0073,2024-01-22,JP Morgan,QQQ,8802,494.07,SELL,2024-01-24,PENDING
TRD-0074,2024-01-24,Jane Street,SPY,9076,228.5,BUY,2024-01-26,FAILED
TRD-0075,2024-01-22,Citadel,NVDA,4150,421.53,SELL,2024-01-24,FAILED
TRD-0076,2024-01-22,JP Morgan,NVDA,7306,47.97,SELL,2024-01-24,SETTLED
TRD-0077,2024-01-19,Morgan Stanley,TSLA,8949,49.48,BUY,2024-01-21,SETTLED
TRD-0078,2024-01-21,JP Morgan,AMZN,1152,213.29,SELL,2024-01-23,FAILED
TRD-0079,2024-01-22,Citadel,AAPL,3488,418.12,SELL,2024-01-24,FAILED
TRD-0080,2024-01-15,Jane Street,SPY,7914,12.89,SELL,2024-01-17,PENDING
TRD-0081,2024-01-21,Citadel,AMZN,8099,117.52,SELL,2024-01-23,PENDING
TRD-0082,2024-01-15,Citadel,TSLA,6724,364.85,SELL,2024-01-17,SETTLED
TRD-0083,2024-01-24,Jane Street,AAPL,6555,300.03,BUY,2024-01-26,SETTLED
TRD-0084,2024-01-21,JP Morgan,QQQ,3077,34.64,SELL,2024-01-23,PENDING
TRD-0085,2024-01-18,Citadel,TSLA,5629,383.0,SELL,2024-01-20,PENDING
TRD-0086,2024-01-21,Morgan Stanley,GOOGL,7805,19.5,BUY,2024-01-23,PENDING
TRD-0087,2024-01-18,Goldman Sachs,AAPL,608,475.31,BUY,2024-01-20,SETTLED
TRD-0088,2024-01-24,JP Morgan,AMZN,2168,242.04,BUY,2024-01-26,FAILED
TRD-0089,2024-01-18,Citadel,NVDA,6143,92.22,BUY,2024-01-20,SETTLED
TRD-0090,2024-01-19,Goldman Sachs,AAPL,5211,292.14,SELL,2024-01-21,PENDING
TRD-0091,2024-01-18,Goldman Sachs,AMZN,1769,351.62,SELL,2024-01-20,FAILED
TRD-0092,2024-01-24,Goldman Sachs,AAPL,5788,271.05,SELL,2024-01-26,SETTLED
TRD-0093,2024-01-23,Morgan Stanley,AAPL,6982,412.94,BUY,2024-01-25,PENDING
TRD-0094,2024-01-20,Citadel,MSFT,7235,96.31,SELL,2024-01-22,FAILED
TRD-0095,2024-01-23,Citadel,QQQ,7236,414.61,SELL,2024-01-25,PENDING
TRD-0096,2024-01-18,Goldman Sachs,NVDA,7485,129.49,SELL,2024-01-20,FAILED
TRD-0097,2024-01-24,Citadel,TSLA,570,252.21,SELL,2024-01-26,SETTLED
TRD-0098,2024-01-22,JP Morgan,TSLA,4332,176.77,SELL,2024-01-24,FAILED
TRD-0099,2024-01-15,Jane Street,AMZN,1502,128.26,SELL,2024-01-17,PENDING
TRD-0100,2024-01-23,JP Morgan,QQQ,8141,229.61,BUY,2024-01-25,SETTLED
